"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[10675][23525]","CONVERGENT MARGIN","TONGA ARC / TONGA RIDGE / DREDGE D115","NORTH END OF TONGA RIDGE, NORTH FACING FAULT WALL, JUSAT EAST OF ACTIVE ARC","-15.3117","-15.3308","-173.4582","-173.4677","SAQ","-1200","-2128","s_115-1-8 [10675] / s_D115-1-8 [23525]","BONINITE [10675] / NOT GIVEN [23525]","","","","","","","","STRONGLY PORPHYRITIC, ORTHOPYROXENE-PLAGIOCLASE-PHYRIC [10675] ","VOL","","","","","WR [10675] / GL [10675] ","56.57","0.21","","12.33","0.06","","","10.33","10.52","8.29","0.19","0","0.36","1.15","0.03","","","","","","","","","","","","","","","","0.69","","","","","","","","","","","","","","","","","","","182","","","","","","1218.85584245365","","","45","","386","44","","","","51","","","","","","","3.55829652693786","7.26872919527565","190.808963600103","5.64641294983443","13.9416081404579","0.981291428276815","","","","","","","","","","","0.134342664970971","","84.304516940893","2.7707275018222","5.4153796469311","0.670564276378437","2.93225066039167","0.782349757851901","0.268188921560209","0.824906242835513","0.142126932991217","0.946238262021572","","0.663702441440023","","0.715012901343184","0.117739684972623","0.444392624117823","4.53897276690883E-02","","","","","","","","","2.45383618091542","","0.520825535496028","0.221725952340554","","","","","","","","","","","","","","","","","","","","","","","","","205030",
"[23525][10675]","CONVERGENT MARGIN","TONGA ARC / TONGA RIDGE / DREDGE D115","NORTH END OF TONGA RIDGE, NORTH FACING FAULT WALL, JUSAT EAST OF ACTIVE ARC","-15.3117","-15.3308","-173.4582","-173.4677","SAQ","-1200","-2128","s_D115-1-10 [23525] / s_115-1-10 [10675]","NOT GIVEN [23525] / BONINITE [10675]","","","","","","","","ORTHOPYROXENE-PLAGIOCLASE-PHYRIC [10675] ","VOL","","","","","GL [23525] ","59.14335","0.278775","","13.708075","0.01","","","11.28205","9.33415","3.805525","0.171725","0.01","0.507","1.122775","0.2645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216","","","","","","993.767599237857","","","","","","","","","","","","","","","","","2.83349731839511","6.54447694352741","195.873102697589","4.8574357821746","12.1416667280287","0.901820893553144","","","","","","","","","","","9.94962100703453E-02","","79.2163426542753","2.52728780075992","5.11231394358968","0.625511707984326","2.6945325817186","0.688270949772463","0.245263910198282","0.725221578396511","0.128398952960956","0.794798804690237","","0.566578039448245","","0.617294945128692","0.117891539097524","0.350080552116025","3.92131120142788E-02","","","","","","","","","2.29098787690558","","0.463606488982138","0.206560804817016","","","","","","","","","","","","","","","","","","","","","","","","","205051",
"[8148]","INTRAPLATE VOLCANICS","TRANS-HUDSON OROGEN / REINDEER ZONE / FLIN FLON DOMAIN / BIRCH LAKE ASSEMBLAGE","BIRCH LAKE","54","55","-101","-102","SAE","","","s_B87-486 [8148]","BONINITE [8148]","1900000 [8148]","1900000 [8148]","","","","","","","VOL","","","","","WR [8148] ","52.84","0.16","","9.28","","11.78","","","9.66","15.16","0.47","","0.3","0.34","0.03","","","","","","","","","","","","","","","","2.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","184","2682","","","77","456","","","","","","","","6","84","6.43","22","1.07","","","","","","","","","","","","0","30","1.51","3.73","0.46","1.96","0.64","0.37","0.83","0.14","0.88","0.22","0.67","0.11","0.73","0.11","0.62","0.06","","","","","","","","","","","0.31","0.33","","","","","","","","","","","","","","","","","","","","","","","","","208450",
"[8338]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / CHICHI-JIMA/TITI-ZIMA","","27.3","27.3","142.3","142.3","SAE","","","s_CHI-1 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212286",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA FORE-ARC / SITE 458","HOLE 458","17.8642","17.8642","146.9343","146.9343","SAQ","-3447","-3447","s_60-458-32R-4 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212287",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA FORE-ARC / SITE 458","HOLE 458","17.8642","17.8642","146.9343","146.9343","SAQ","-3447","-3447","s_60-458-46R-1 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212288",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA FORE-ARC / SITE 458","HOLE 458","17.8642","17.8642","146.9343","146.9343","SAQ","-3447","-3447","s_60-458-37R-1 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212289",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA FORE-ARC / SITE 458","HOLE 458","17.8642","17.8642","146.9343","146.9343","SAQ","-3447","-3447","s_60-458-39R-1 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212290",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA FORE-ARC / SITE 459","HOLE 459B","17.8625","17.8625","147.3015","147.3015","SAQ","-4120","-4120","s_60-459B-60R-2 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212291",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA FORE-ARC / SITE 459","HOLE 459B","17.8625","17.8625","147.3015","147.3015","SAQ","-4120","-4120","s_60-459B-61R-1 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212292",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / SANKAKUYAMA FORMATION","","15.2","15.2","145.72","145.72","SAE","","","s_SA89-9 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212293",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / SANKAKUYAMA FORMATION","","15.2","15.2","145.72","145.72","SAE","","","s_SA88-13 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212294",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / SANKAKUYAMA FORMATION","","15.2","15.2","145.72","145.72","SAE","","","s_SA88-6 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212295",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / HAGMAN FORMATION","","15.2","15.2","146.72","146.72","SAE","","","s_SA89-1 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212296",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / HAGMAN FORMATION","","15.2","15.2","146.72","146.72","SAE","","","s_SA89-7 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.838","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212297",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / HAGMAN FORMATION","","15.2","15.2","146.72","146.72","SAE","","","s_SA89-6 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.539","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212298",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / UMATAC FORMATION","FACPI POINT","13.35","13.55","144.63","144.63","SAE","","","s_G89-1 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212299",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / UMATAC FORMATION","FACPI POINT","13.35","13.55","144.63","144.63","SAE","","","s_G88-13 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212300",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / UMATAC FORMATION","FACPI POINT","13.35","13.55","144.63","144.63","SAE","","","s_G89-5 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212301",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / UMATAC FORMATION","FACPI POINT","13.35","13.55","144.63","144.63","SAE","","","s_G88-12 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.876","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212302",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / UMATAC FORMATION","FACPI POINT","13.35","13.55","144.63","144.63","SAE","","","s_G88-15 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212303",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / UMATAC FORMATION","FACPI POINT","13.35","13.55","144.63","144.63","SAE","","","s_G89-2 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.687","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212304",
"[8338]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / ALUTOM FORMATION","CENTRAL PART","13.5","13.5","144.67","144.67","SAE","","","s_G88-8 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","1.449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212305",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS","BABELDUAP","7.5","7.5","134.5","134.5","SAE","","","s_PA86-14 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212306",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS","BABELDUAP","7.5","7.5","134.5","134.5","SAE","","","s_PA86-13 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212307",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS","BABELDUAP","7.5","7.5","134.5","134.5","SAE","","","s_PA86-19 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.361","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212308",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS","BABELDUAP","7.5","7.5","134.5","134.5","SAE","","","s_PA86-18 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212309",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS","AIMELIIK","7.5","7.5","134.5","134.5","SAE","","","s_PA86-22 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212310",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS / ARAKABESAN UNIT","","7.5","7.5","134.5","134.5","SAE","","","s_PA86-24 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212311",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS / ARAKABESAN UNIT","","7.5","7.5","134.5","134.5","SAE","","","s_PA86-16 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212312",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS / ARAKABESAN UNIT","","7.5","7.5","134.5","134.5","SAE","","","s_PA89-7 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212313",
"[8338]","CONVERGENT MARGIN","YAP ARC / YAP ARC / PALAU ISLANDS / ARAKABESAN UNIT","","7.5","7.5","134.5","134.5","SAE","","","s_PA86-4 [8338]","BONINITE [8338]","","","","","","","","","VOL","","","","","WR [8338] ","","","","","","","","","","","","","0.429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212314",
"[25616]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / ISUA AMPHIBOLITE UNIT","","65.13965","65.13965","-50.14983","-50.14983","SAE","","","s_ECP08-09 [25616]","BONINITE [25616]","","","","ARCHEAN [25616]","","","","","VOL","","","","","WR [25616] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43115330071002E-03","","2.10643062316794E-04","","","","","","","","","","","","","","","","","","","","","","","","","","","1.37298230490008E-05","","3.32949377294084E-04","1.86259800142403E-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2246931",
"[25616]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / ISUA AMPHIBOLITE UNIT","","65.09199","65.09199","-50.14136","-50.14136","SAE","","","s_879320 [25616]","BONINITE [25616]","","","","ARCHEAN [25616]","","","","","VOL","118","118","","","WR [25616] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5203306594985E-03","","0.018568528706009","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4789682855426E-04","0.0001904","2.58493094227998E-04","1.79314943324903E-02","","","","","","","","","","","","","","","","","","","","","","0.477508620476081","","3.91217559802806","","","","","","","","2246959",
"[25616]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / ISUA AMPHIBOLITE UNIT","","65.0974","65.0974","-50.14598","-50.14598","SAE","","","s_06-07 AA [25616]","BONINITE [25616]","","","","ARCHEAN [25616]","","","","","VOL","","","","","WR [25616] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.93120385794679E-03","","2.73087430247335E-03","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98099921897639E-04","0.0000849","7.73860512032332E-05","0.001637411059271","","","","","","","","","","","","","","","","","","","","","","2.79901038409298","","23.6119113444736","","","","","","","","2246960",
"[17294][11752]","SEAMOUNT","IZU-BONIN ARC / HAHAJIMA / DREDGE D20","NORTHERN PART OF SEAMOUNT","26.517","26.517","142.933","142.967","SAQ","-1700","-1700","s_D20-6 [17294] / s_KT04-28-D20-6 [11752]","BONINITE, OLIVINE [17294] / BONINITE [11752]","","","","","","","","HIGHLY PHYRIC [11752] ","VOL","","","","","WR [17294] ","53.11","0.36","","12.81","","8.98","","8.08","9.74","11.52","0.15","","0.71","1.65","0.02","2.86","","2.86","","","","","","","","","","","","","2.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.08","","190.27","536.17","","","42.9","177.19","83.71","67.03","","","0.58","","","7.51","98.39","10.61","28.87","0.5","0.18","","","","","","","","","","","","10.19","1.44","3.84","0.64","3.08","1","0.38","1.19","0.23","1.54","0.31","1.01","0.16","1.01","0.17","0.77","0.05","","","","","","","","","0.56","","0.12","0.06","","","","","","","","","","","","","","","","","","","","","","","","","225580",
"[17294][11752]","SEAMOUNT","IZU-BONIN ARC / HAHAJIMA / DREDGE D20","NORTHERN PART OF SEAMOUNT","26.517","26.517","142.933","142.967","SAQ","-1700","-1700","s_D20-17 [17294] / s_KT04-28-D20-17 [11752]","BONINITE, OLIVINE [17294] / BONINITE [11752]","","","","","","","","HIGHLY PHYRIC [11752] ","VOL","","","","","WR [17294] ","52.96","0.19","","8.81","","9.11","","8.2","6.62","20.99","0.14","","0.52","0.94","0","0.61","","0.61","","","","","","","","","","","","","2.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.23","","144.79","1308.12","","","67.24","667.14","63.04","56.76","","","1.35","","","8.91","54.62","5.2","19.32","0.57","0.25","","","","","","","","","","","","14.97","0.64","1.67","0.26","1.24","0.4","0.14","0.52","0.1","0.76","0.16","0.52","0.09","0.58","0.1","0.5","0.07","","","","","","","","","0.93","","0.12","0.06","","","","","","","","","","","","","","","","","","","","","","","","","225581",
